entity_id,name,device_id,platform,domain,area,enabled,disabled_by,unit
binary_sensor.sun_solar_rising,Solar rising,fafc3a6854b4cb5b797624cd938a6453,sun,binary_sensor,,no,integration,
sensor.sun_next_dawn,Next dawn,fafc3a6854b4cb5b797624cd938a6453,sun,sensor,,yes,,
sensor.sun_next_dusk,Next dusk,fafc3a6854b4cb5b797624cd938a6453,sun,sensor,,yes,,
sensor.sun_next_midnight,Next midnight,fafc3a6854b4cb5b797624cd938a6453,sun,sensor,,yes,,
sensor.sun_next_noon,Next noon,fafc3a6854b4cb5b797624cd938a6453,sun,sensor,,yes,,
sensor.sun_next_rising,Next rising,fafc3a6854b4cb5b797624cd938a6453,sun,sensor,,yes,,
sensor.sun_next_setting,Next setting,fafc3a6854b4cb5b797624cd938a6453,sun,sensor,,yes,,
sensor.sun_solar_elevation,Solar elevation,fafc3a6854b4cb5b797624cd938a6453,sun,sensor,,no,integration,°
sensor.sun_solar_azimuth,Solar azimuth,fafc3a6854b4cb5b797624cd938a6453,sun,sensor,,no,integration,°
sensor.sun_solar_rising,Solar rising,fafc3a6854b4cb5b797624cd938a6453,sun,sensor,,no,integration,
sensor.home_assistant_core_cpu_percent,CPU percent,ee33cd2a3459d02723374eba26fcc4d6,hassio,sensor,,no,integration,%
sensor.home_assistant_core_memory_percent,Memory percent,ee33cd2a3459d02723374eba26fcc4d6,hassio,sensor,,no,integration,%
sensor.home_assistant_supervisor_cpu_percent,CPU percent,1d3384cfdbf81faff72138875d6f2081,hassio,sensor,,no,integration,%
sensor.home_assistant_supervisor_memory_percent,Memory percent,1d3384cfdbf81faff72138875d6f2081,hassio,sensor,,no,integration,%
sensor.home_assistant_host_os_agent_version,OS Agent version,76e6d9463ae13e4db38c57b7253bea8d,hassio,sensor,,no,integration,
sensor.home_assistant_host_apparmor_version,AppArmor version,76e6d9463ae13e4db38c57b7253bea8d,hassio,sensor,,no,integration,
sensor.home_assistant_host_disk_total,Disk total,76e6d9463ae13e4db38c57b7253bea8d,hassio,sensor,,no,integration,GB
sensor.home_assistant_host_disk_used,Disk used,76e6d9463ae13e4db38c57b7253bea8d,hassio,sensor,,no,integration,GB
sensor.home_assistant_host_disk_free,Disk free,76e6d9463ae13e4db38c57b7253bea8d,hassio,sensor,,no,integration,GB
sensor.home_assistant_operating_system_version,Version,c19d77a7726fb0e2ec232dd583e62e53,hassio,sensor,,no,integration,
sensor.home_assistant_operating_system_newest_version,Newest version,c19d77a7726fb0e2ec232dd583e62e53,hassio,sensor,,no,integration,
update.home_assistant_supervisor_update,Update,1d3384cfdbf81faff72138875d6f2081,hassio,update,,yes,,
update.home_assistant_core_update,Update,ee33cd2a3459d02723374eba26fcc4d6,hassio,update,,yes,,
update.home_assistant_operating_system_update,Update,c19d77a7726fb0e2ec232dd583e62e53,hassio,update,,yes,,
event.backup_automatic_backup,Automatic backup,1ea1d4d44f02fc4ed5d98a08e52e2bb8,backup,event,,yes,,
sensor.backup_backup_manager_state,Backup Manager state,1ea1d4d44f02fc4ed5d98a08e52e2bb8,backup,sensor,,yes,,
sensor.backup_next_scheduled_automatic_backup,Next scheduled automatic backup,1ea1d4d44f02fc4ed5d98a08e52e2bb8,backup,sensor,,yes,,
sensor.backup_last_successful_automatic_backup,Last successful automatic backup,1ea1d4d44f02fc4ed5d98a08e52e2bb8,backup,sensor,,yes,,
